step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,41,1,0.3422684478372903,0.0,0.0
2,82,2,0.29415758050723534,0.0,0.0
3,107,3,0.26836416228777427,0.0,0.0
4,180,4,0.09312592670424943,0.0,0.0
5,221,5,0.032864584001566985,1.0,1.0
6,254,6,0.037723244405715374,1.0,1.0
7,279,7,0.03359652970650738,1.0,1.0
8,320,8,0.030938620218075807,1.0,1.0
9,545,9,0.033140532646076915,1.0,1.0
10,570,10,0.022109474907823213,1.0,1.0
11,603,11,0.013494568530586549,1.0,1.0
12,644,12,0.028891261502634737,1.0,1.0
13,717,13,0.12056504911251574,0.0,0.0
14,758,14,0.02212080684886314,1.0,1.0
15,791,15,0.019680225299234737,1.0,1.0
16,824,16,0.02177591590909287,1.0,1.0
17,849,17,0.014783291911977964,1.0,1.0
18,882,18,0.010066903492988786,1.0,1.0
19,923,19,0.02736308410449419,1.0,1.0
20,964,20,0.023958843491738664,1.0,1.0
21,997,21,0.013991431805952742,1.0,1.0
22,1086,22,0.025196835061797172,1.0,1.0
23,1119,23,0.2619002080018254,0.0,0.0
24,1192,24,0.032936498319452064,1.0,1.0
25,1233,25,0.02153837113780901,1.0,1.0
26,1266,26,0.00555596837111807,1.0,1.0
27,1291,27,0.01250326059035918,1.0,1.0
28,1332,28,0.022308030709595188,1.0,1.0
29,1365,29,0.010133290242192743,1.0,1.0
30,1398,30,0.010532345267256459,1.0,1.0
31,1431,31,0.009011256524663622,1.0,1.0
32,1472,32,0.01997880817850819,1.0,1.0
33,1569,33,0.03683679010437724,1.0,1.0
34,1610,34,0.014420278117999261,1.0,1.0
35,1691,35,0.12407691921926019,0.0,0.0
36,1716,36,0.01208413674468223,1.0,1.0
37,1741,37,0.014551969137379878,1.0,1.0
38,1782,38,0.01770302808181441,1.0,1.0
39,1871,39,0.03599551201157738,0.0,0.0
40,1896,40,0.01572693057503784,1.0,1.0
41,1921,41,0.014244088684693752,1.0,1.0
42,1986,42,0.02648213904512886,1.0,1.0
43,2011,43,0.009828377033506211,1.0,1.0
44,2036,44,0.008748155721017004,1.0,1.0
45,2069,45,0.008366924001820736,1.0,1.0
46,2102,46,0.011377047930509433,1.0,1.0
47,2127,47,0.008601020806430219,1.0,1.0
48,2248,48,0.04921287097615035,1.0,1.0
49,2297,49,0.026384771928278497,1.0,1.0
50,2338,50,0.02090477125477628,1.0,1.0
51,2371,51,0.009900623962821556,1.0,1.0
52,2484,52,0.051265101481393294,1.0,1.0
53,2509,53,0.0036296157259736593,1.0,1.0
54,2534,54,0.00676469712406591,1.0,1.0
55,2559,55,0.00882289069411854,1.0,1.0
56,2600,56,0.021269503712057488,1.0,1.0
57,2705,57,0.02911322427886262,1.0,1.0
58,2738,58,0.3065356110023504,0.0,0.0
59,2771,59,0.006344375891112577,1.0,1.0
60,2804,60,0.005848990828599199,1.0,1.0
61,2829,61,0.008651581133561497,1.0,1.0
62,2862,62,0.026746644651299792,1.0,1.0
63,2887,63,0.017904774170656307,1.0,1.0
64,2920,64,0.05931086030431288,0.0,0.0
65,2945,65,0.027005705564940093,1.0,1.0
66,2986,66,0.03127979270312062,1.0,1.0
67,3027,67,0.02005685483966954,1.0,1.0
68,3052,68,0.0863988903636588,0.0,0.0
69,3117,69,0.026661107998147603,1.0,1.0
70,3158,70,0.023179982355810355,1.0,1.0
71,3191,71,0.03912314371138791,0.0,0.0
72,3232,72,0.01930120307323523,1.0,1.0
73,3297,73,0.02381919154076968,1.0,1.0
74,3338,74,0.01878213454897923,1.0,1.0
75,3451,75,0.04968748841410226,1.0,1.0
76,3484,76,0.010846269849330384,1.0,1.0
77,3517,77,0.01887635843274978,1.0,1.0
78,3558,78,0.014095523149764633,1.0,1.0
79,3599,79,0.019775878618696882,1.0,1.0
80,3656,80,0.020289044517090328,1.0,1.0
81,3681,81,0.011244877886468505,1.0,1.0
82,3722,82,0.01820325946380035,1.0,1.0
83,3747,83,0.009503979790715676,1.0,1.0
84,3788,84,0.017909832779812864,1.0,1.0
85,3821,85,0.0070891866497891,1.0,1.0
86,3854,86,0.2145401589964422,0.0,0.0
87,3887,87,0.17691077493234844,0.0,0.0
88,4016,88,0.04327724820095476,1.0,1.0
89,4057,89,0.011801188715064201,1.0,1.0
90,4082,90,0.008853272037946832,1.0,1.0
91,4115,91,0.011181263769404952,1.0,1.0
92,4236,92,0.04844980792932756,1.0,1.0
93,4277,93,0.019445888512735113,1.0,1.0
94,4310,94,0.024664396458774718,1.0,1.0
95,4359,95,0.029993225713123295,1.0,1.0
96,4400,96,0.020891781284783067,1.0,1.0
97,4441,97,0.0175595372365915,1.0,1.0
98,4466,98,0.04328905451541383,0.0,0.0
99,4587,99,0.04753604759939723,1.0,1.0
100,4620,100,0.13211459680363136,0.0,0.0
101,4645,101,0.014474895536380547,1.0,1.0
